z;acetoneold;acetone;methanolold;methanol;N2old;N2;xN2;yN2;xMeth;yMeth;xAc;yAc
0.062805;0.23459;0.28754;0.38875;0.45824;0.37666;0.25422;;;;;;
0.063042;0.23427;0.28739;0.38822;0.45793;0.3775;0.25468;;;;;;
0.063279;0.23396;0.28724;0.3877;0.45761;0.37834;0.25515;;;;;;
0.063516;0.23364;0.28709;0.38717;0.45729;0.37919;0.25562;;;;;;
0.063753;0.23332;0.28694;0.38665;0.45697;0.38003;0.25609;;;;;;
0.06399;0.23301;0.28679;0.38612;0.45665;0.38087;0.25656;;;;;;
0.064227;0.23269;0.28664;0.3856;0.45633;0.38172;0.25703;;;;;;
0.064464;0.23237;0.28649;0.38507;0.45601;0.38256;0.2575;;;;;;
0.064701;0.23205;0.28633;0.38454;0.45569;0.3834;0.25798;;;;;;
0.064938;0.23174;0.28618;0.38402;0.45537;0.38425;0.25845;;;;;;
0.065175;0.23142;0.28603;0.38349;0.45504;0.38509;0.25893;;;;;;
0.065412;0.2311;0.28588;0.38297;0.45472;0.38593;0.2594;;;;;;
0.065649;0.23078;0.28573;0.38244;0.4544;0.38678;0.25988;;;;;;
0.065886;0.23047;0.28557;0.38191;0.45407;0.38762;0.26035;;;;;;
0.066123;0.23015;0.28542;0.38139;0.45375;0.38846;0.26083;;;;;;
0.06636;0.22983;0.28527;0.38086;0.45343;0.38931;0.26131;;;;;;
0.066597;0.22951;0.28511;0.38034;0.4531;0.39015;0.26179;;;;;;
0.066834;0.2292;0.28496;0.37981;0.45278;0.39099;0.26227;;;;;;
0.067071;0.22888;0.2848;0.37928;0.45245;0.39184;0.26275;;;;;;
0.067308;0.22856;0.28465;0.37876;0.45212;0.39268;0.26323;;;;;;
0.067545;0.22825;0.28449;0.37823;0.4518;0.39352;0.26371;;;;;;
0.067782;0.22793;0.28434;0.37771;0.45147;0.39436;0.26419;;;;;;
0.068019;0.22761;0.28418;0.37718;0.45114;0.39521;0.26468;;;;;;
0.068256;0.22729;0.28402;0.37666;0.45081;0.39605;0.26516;;;;;;
0.068493;0.22698;0.28387;0.37613;0.45048;0.39689;0.26565;;;;;;
0.06873;0.22666;0.28371;0.3756;0.45015;0.39774;0.26613;;;;;;
0.068967;0.22634;0.28355;0.37508;0.44983;0.39858;0.26662;;;;;;
0.069204;0.22602;0.2834;0.37455;0.44949;0.39942;0.26711;;;;;;
0.069441;0.22571;0.28324;0.37403;0.44916;0.40027;0.2676;;;;;;
0.069678;0.22539;0.28308;0.3735;0.44883;0.40111;0.26809;;;;;;
0.069915;0.22507;0.28292;0.37297;0.4485;0.40195;0.26858;;;;;;
0.070152;0.22475;0.28276;0.37245;0.44817;0.4028;0.26907;;;;;;
0.070389;0.22444;0.28261;0.37192;0.44784;0.40364;0.26956;;;;;;
