# Residuals     
# Time          	Uy              	Uz              	p               	h               	T               
0               	N/A	N/A	N/A	N/A
0.275           	5.20685412e-04	1.81576746e-04	4.95169749e-05	1.35018368e-04	N/A
0.27625         	5.15516143e-04	1.77790438e-04	4.92637143e-05	1.32001258e-04	N/A
0.2775          	5.10244735e-04	1.74058494e-04	4.90013773e-05	1.29025202e-04	N/A
0.27875         	5.04877213e-04	1.70380615e-04	4.87116492e-05	1.26090103e-04	N/A
0.28            	4.99409292e-04	1.66756826e-04	4.84122331e-05	1.23195917e-04	N/A
0.28125         	4.93842404e-04	1.63186883e-04	4.80736170e-05	1.20342646e-04	N/A
0.2825          	4.88183162e-04	1.59671211e-04	4.77491576e-05	1.17530328e-04	N/A
0.28375         	4.82434277e-04	1.56209101e-04	4.73907935e-05	1.14759037e-04	N/A
0.285           	4.76592026e-04	1.52800422e-04	4.70139122e-05	1.12028871e-04	N/A
0.28625         	4.70667703e-04	1.49445535e-04	4.66266894e-05	1.09339931e-04	N/A
0.2875          	4.64661623e-04	1.46143965e-04	4.62091351e-05	1.06692348e-04	N/A
0.28875         	4.58581519e-04	1.42895254e-04	4.57859025e-05	1.04086261e-04	N/A
0.29            	4.52426917e-04	1.39699654e-04	4.53492424e-05	1.01521835e-04	N/A
0.29125         	4.46207214e-04	1.36556904e-04	4.48910019e-05	9.89992109e-05	N/A
0.2925          	4.39925031e-04	1.33466915e-04	4.44240144e-05	9.65185220e-05	N/A
0.29375         	4.33589214e-04	1.30429150e-04	4.39360873e-05	9.40798924e-05	N/A
0.295           	4.27200864e-04	1.27443645e-04	4.34371813e-05	9.16834265e-05	N/A
0.29625         	4.20771319e-04	1.24509853e-04	4.29258379e-05	8.93292221e-05	N/A
0.2975          	4.14301232e-04	1.21627846e-04	4.23991643e-05	8.70173411e-05	N/A
0.29875         	4.07800724e-04	1.18797237e-04	4.18662038e-05	8.47478294e-05	N/A
0.3             	4.01273650e-04	1.16017536e-04	4.13229573e-05	8.25207118e-05	N/A
