# Residuals     
# Time          	Uy              	Uz              	p               	h               	T               
0               	N/A	N/A	N/A	N/A
0.026           	2.11663283e-05	2.09500074e-06	2.25895243e-04	N/A	2.73189836e-07
0.0261          	2.03233975e-05	2.00929381e-06	2.18547710e-04	N/A	2.57548310e-07
0.0262          	1.94234406e-05	1.91132812e-06	2.11286815e-04	N/A	2.38184405e-07
0.0263          	1.85301867e-05	1.82930023e-06	2.03934221e-04	N/A	2.15002799e-07
0.0264          	1.76199965e-05	1.74647658e-06	1.98089260e-04	N/A	1.91057218e-07
0.0265          	1.67383821e-05	1.67364579e-06	1.91155398e-04	N/A	1.68798490e-07
0.0266          	1.60115031e-05	1.61837558e-06	1.84412167e-04	N/A	1.49938509e-07
0.0267          	1.53110277e-05	1.56615634e-06	1.77799503e-04	N/A	1.36729503e-07
0.0268          	1.47193087e-05	1.51971011e-06	1.70735829e-04	N/A	1.34894144e-07
0.0269          	1.42421095e-05	1.47056880e-06	1.63944437e-04	N/A	1.35916958e-07
0.027           	1.37743954e-05	1.42580216e-06	1.56942357e-04	N/A	1.41003961e-07
0.0271          	1.33653753e-05	1.38012892e-06	1.49996157e-04	N/A	1.45726878e-07
0.0272          	1.29528596e-05	1.32428796e-06	1.43943881e-04	N/A	1.50170706e-07
0.0273          	1.25526005e-05	1.27531161e-06	1.37586050e-04	N/A	1.50226033e-07
0.0274          	1.21405833e-05	1.22596747e-06	1.32417405e-04	N/A	1.47963742e-07
0.0275          	1.16672718e-05	1.17368496e-06	1.27952907e-04	N/A	1.42793791e-07
0.0276          	1.12109134e-05	1.12493711e-06	1.23409050e-04	N/A	1.35622881e-07
0.0277          	1.07326867e-05	1.07472784e-06	1.19071927e-04	N/A	1.25595649e-07
0.0278          	1.02177677e-05	1.02679455e-06	1.15071059e-04	N/A	1.14216937e-07
0.0279          	9.73747464e-06	9.80533136e-07	1.11402071e-04	N/A	1.00061733e-07
0.028           	9.27170614e-06	9.35816014e-07	1.07583447e-04	N/A	8.81532792e-08
0.0281          	8.85493047e-06	9.02438245e-07	1.03597991e-04	N/A	7.68758955e-08
0.0282          	8.46455084e-06	8.73173447e-07	9.98610968e-05	N/A	6.93124503e-08
0.0283          	8.11417610e-06	8.42999238e-07	9.60645165e-05	N/A	6.59021228e-08
0.0284          	7.84295451e-06	8.18216475e-07	9.19252313e-05	N/A	6.68897438e-08
0.0285          	7.57580457e-06	7.90710858e-07	8.82158543e-05	N/A	6.95877247e-08
0.0286          	7.31501883e-06	7.64113417e-07	8.44253461e-05	N/A	7.20825195e-08
0.0287          	7.09063850e-06	7.37451475e-07	8.06475945e-05	N/A	7.42246286e-08
0.0288          	6.86313514e-06	7.07691888e-07	7.71995019e-05	N/A	7.52886618e-08
0.0289          	6.62348867e-06	6.79703180e-07	7.41378079e-05	N/A	7.49166624e-08
0.029           	6.37401204e-06	6.52669603e-07	7.14112690e-05	N/A	7.34228413e-08
0.0291          	6.12910169e-06	6.24099323e-07	6.87673937e-05	N/A	7.05559665e-08
0.0292          	5.87189546e-06	5.98261261e-07	6.64544989e-05	N/A	6.65901095e-08
0.0293          	5.60633848e-06	5.70841171e-07	6.41532234e-05	N/A	6.13218023e-08
0.0294          	5.33866267e-06	5.45238493e-07	6.17640477e-05	N/A	5.54494905e-08
0.0295          	5.09727989e-06	5.21929030e-07	5.96299217e-05	N/A	4.92318494e-08
0.0296          	4.85693704e-06	4.97274360e-07	5.76657273e-05	N/A	4.31058953e-08
0.0297          	4.62618134e-06	4.78356932e-07	5.54874483e-05	N/A	3.74978977e-08
0.0298          	4.44633779e-06	4.63548507e-07	5.32380593e-05	N/A	3.35739978e-08
